Date,Ticker,Open Price,High Price,Low Price,Close Price,Volume
2024/11/14,MAERSK-A.CO,10700,11350,10700,11300,10222
2024/11/15,MAERSK-A.CO,11140,11440,11040,11360,5553
2024/11/18,MAERSK-A.CO,11370,11610,11290,11570,6127
2024/11/19,MAERSK-A.CO,11550,11690,11390,11660,6241
2024/11/20,MAERSK-A.CO,11680,12090,11680,11850,9132
2024/11/21,MAERSK-A.CO,11800,12090,11440,11460,6313
2024/11/22,MAERSK-A.CO,11460,11590,11270,11540,5173
2024/11/25,MAERSK-A.CO,11540,11660,11080,11230,15227
2024/11/26,MAERSK-A.CO,11210,11440,11110,11120,3599
2024/11/27,MAERSK-A.CO,10990,11130,10900,11110,4425
2024/11/28,MAERSK-A.CO,11140,11400,11000,11340,2121
2024/11/29,MAERSK-A.CO,11400,11690,11380,11570,15827
2024/12/02,MAERSK-A.CO,11570,11980,11510,11800,5781
2024/12/03,MAERSK-A.CO,11900,12160,11870,12100,4619
2024/12/04,MAERSK-A.CO,12000,12000,11630,11710,5135
2024/12/05,MAERSK-A.CO,11770,12100,11770,12050,3818
2024/12/06,MAERSK-A.CO,12100,12130,11830,11920,2284
2024/12/09,MAERSK-A.CO,12000,12030,11620,11670,5305
2024/12/10,MAERSK-A.CO,11670,11800,11530,11680,2930
2024/12/11,MAERSK-A.CO,11600,11680,11440,11530,6281
2024/12/12,MAERSK-A.CO,11490,11630,11260,11260,6094
2024/12/13,MAERSK-A.CO,11360,11700,11360,11560,6122
2024/12/16,MAERSK-A.CO,11560,11620,11260,11440,3752
2024/12/17,MAERSK-A.CO,11280,11300,10920,11120,6013
2024/12/18,MAERSK-A.CO,11120,11380,11100,11160,3915
2024/12/19,MAERSK-A.CO,11000,11210,11000,11080,4008
2024/12/20,MAERSK-A.CO,10980,11050,10740,11050,8420
2024/12/23,MAERSK-A.CO,11010,11460,11010,11450,2680
2024/12/27,MAERSK-A.CO,11440,11730,11440,11700,4350
2024/12/30,MAERSK-A.CO,11680,11750,11520,11540,3424
2025/01/02,MAERSK-A.CO,11550,12070,11550,12060,4185
2025/01/03,MAERSK-A.CO,11950,12080,11870,11970,3153
2025/01/06,MAERSK-A.CO,11940,12060,11600,11800,3745
2025/01/07,MAERSK-A.CO,11750,11750,11310,11400,3563
2025/01/08,MAERSK-A.CO,11400,11500,11260,11370,2568
2025/01/09,MAERSK-A.CO,10900,10900,10550,10750,5181
2025/01/10,MAERSK-A.CO,10670,10820,10440,10740,4494
2025/01/13,MAERSK-A.CO,10740,10800,10350,10420,5149
2025/01/14,MAERSK-A.CO,10580,10600,10380,10420,3219
2025/01/15,MAERSK-A.CO,10440,10630,10420,10530,3652
2025/01/16,MAERSK-A.CO,10410,10450,10230,10330,5144
2025/01/17,MAERSK-A.CO,10290,10320,9835,10080,10327
2025/01/20,MAERSK-A.CO,9985,10240,9870,10140,3147
2025/01/21,MAERSK-A.CO,10110,10200,9960,10180,3118
2025/01/22,MAERSK-A.CO,10170,10380,10090,10100,3097
2025/01/23,MAERSK-A.CO,10100,10310,10080,10160,3072
2025/01/24,MAERSK-A.CO,10160,10390,10050,10080,3556
2025/01/27,MAERSK-A.CO,10070,10220,9855,10220,6332
2025/01/28,MAERSK-A.CO,10240,10240,10000,10050,2656
